order_id,date,product_id,product_name,category,qty,price,customer_id,city,channel
O110,2023-05-17,P3635,Milk,Groceries,2,66.53,C83698,Islamabad,Online
O111,2023-12-27,P7413,Milk,Groceries,5,74.19,C40523,Peshawar,Online
O112,2023-03-19,P8577,Doll,Toys,5,121.67,C30611,Karachi,Online
O113,2023-10-22,P7943,Smartphone,Electronics,2,409.22,C21954,Multan,In-Store
O114,2023-08-13,P5033,Knife Set,Kitchenware,1,119.95,C28381,Multan,In-Store
O115,2023-03-08,P2202,Jacket,Clothing,3,218.61,C34519,Lahore,In-Store
O116,2023-08-19,P1922,Oil,Groceries,5,250.23,C61356,Peshawar,Online
O117,2023-10-16,P6373,Hotpot,Kitchenware,5,390.39,C77779,Peshawar,In-Store
O118,2023-04-28,P7028,Smartphone,Electronics,3,378.54,C33710,Quetta,In-Store
O119,2023-06-06,P4719,Ball,Toys,4,201.66,C74772,Multan,Online
O120,2023-04-05,P3674,Milk,Groceries,5,361.42,C49666,Faisalabad,In-Store
O121,2023-01-11,P7166,Laptop,Electronics,3,176.12,C10814,Lahore,In-Store
O122,2023-07-29,P1984,Shoes,Clothing,2,295.18,C25328,Quetta,In-Store
O123,2023-11-20,P4876,Oil,Groceries,4,55.6,C10126,Lahore,Online
O124,2023-02-20,P8196,Oil,Groceries,2,39.12,C54327,Karachi,In-Store
O125,2023-12-12,P2645,Jacket,Clothing,1,61.05,C57523,Peshawar,Online
O126,2023-05-29,P8112,Hotpot,Kitchenware,3,297.68,C85060,Karachi,In-Store
O127,2023-10-18,P9766,Rice,Groceries,5,303.84,C73731,Karachi,In-Store
O128,2023-12-13,P4600,Jeans,Clothing,2,235.52,C16783,Islamabad,Online
O129,2023-01-25,P2990,Oil,Groceries,3,127.87,C80835,Peshawar,Online
O130,2023-05-30,P3713,Hotpot,Kitchenware,5,292.39,C20395,Lahore,Online
O131,2023-06-26,P5243,Knife Set,Kitchenware,1,480.73,C62853,Peshawar,In-Store
O132,2023-08-12,P3482,Ball,Toys,1,153.3,C34442,Islamabad,In-Store
O133,2023-05-24,P8186,Doll,Toys,5,191.97,C28449,Karachi,In-Store
O134,2023-04-23,P6797,Jacket,Clothing,2,264.57,C35522,Quetta,In-Store
O135,2023-05-11,P5873,Cooker,Kitchenware,5,42.37,C85629,Lahore,In-Store
O136,2023-12-15,P1832,Knife Set,Kitchenware,4,420.7,C86534,Islamabad,In-Store
O137,2023-09-06,P4310,Jacket,Clothing,5,299.55,C78836,Islamabad,Online
O138,2023-03-29,P3538,Cooker,Kitchenware,2,403.63,C22175,Faisalabad,In-Store
O139,2023-11-07,P1943,Car,Toys,5,206.16,C57057,Quetta,In-Store
O140,2023-02-05,P2308,Knife Set,Kitchenware,5,18.13,C41419,Lahore,In-Store
O141,2023-08-22,P2409,Knife Set,Kitchenware,5,174.2,C86918,Faisalabad,In-Store
O142,2023-12-21,P6619,Doll,Toys,1,220.88,C27771,Karachi,In-Store
O143,2023-07-28,P3573,Jeans,Clothing,1,244.97,C88344,Lahore,Online
O144,2023-08-23,P3541,Knife Set,Kitchenware,1,73.98,C65961,Lahore,Online
O145,2023-05-26,P6475,Car,Toys,5,14.1,C67384,Peshawar,In-Store
O146,2023-03-17,P2622,Hotpot,Kitchenware,1,251.25,C58756,Lahore,In-Store
O147,2023-08-07,P5263,Puzzle,Toys,1,136.92,C56828,Karachi,Online
O148,2023-07-09,P3681,Smartphone,Electronics,1,212.29,C46397,Lahore,In-Store
O149,2023-10-09,P5124,T-Shirt,Clothing,3,49.72,C67492,Islamabad,In-Store
O150,2023-10-22,P2333,Shoes,Clothing,4,360.93,C38769,Quetta,Online
O151,2023-08-27,P2762,Ball,Toys,1,138.61,C41987,Islamabad,Online
O152,2023-06-03,P8617,T-Shirt,Clothing,3,170.45,C11524,Karachi,Online
O153,2023-04-14,P7185,Hotpot,Kitchenware,1,353.94,C23350,Islamabad,Online
O154,2023-04-12,P8009,Smartphone,Electronics,4,348.87,C33051,Islamabad,Online
O155,2023-01-17,P1329,Oil,Groceries,3,481.24,C46408,Quetta,Online
O156,2023-05-29,P2750,Sugar,Groceries,3,367.45,C64756,Peshawar,In-Store
O157,2023-02-28,P4993,Frying Pan,Kitchenware,1,325.1,C37935,Lahore,In-Store
O158,2023-09-07,P1390,Knife Set,Kitchenware,2,286.13,C54813,Quetta,Online
O159,2023-03-23,P4294,Knife Set,Kitchenware,2,213.77,C64237,Faisalabad,Online
O160,2023-09-30,P8693,Jeans,Clothing,3,415.31,C84910,Islamabad,In-Store
O161,2023-06-20,P3983,Rice,Groceries,2,443.07,C30662,Quetta,In-Store
O162,2023-07-29,P9684,Cooker,Kitchenware,5,332.52,C89273,Faisalabad,In-Store
O163,2023-09-08,P4810,Laptop,Electronics,3,435.7,C49974,Peshawar,In-Store
O164,2023-09-02,P1271,Car,Toys,1,203.96,C95431,Faisalabad,Online
O165,2023-12-06,P4760,Frying Pan,Kitchenware,1,171.5,C12050,Multan,In-Store
O166,2023-06-02,P9623,Charger,Electronics,2,120.64,C45400,Quetta,Online
O167,2023-10-20,P5805,Cooker,Kitchenware,4,113.04,C10806,Quetta,In-Store
O168,2023-07-18,P6690,Jeans,Clothing,5,494.65,C66979,Multan,Online
O169,2023-04-17,P1824,Puzzle,Toys,5,64.57,C92856,Karachi,In-Store
O170,2023-02-16,P1726,Shoes,Clothing,5,33.63,C56600,Islamabad,In-Store
O171,2023-06-27,P8312,Smartphone,Electronics,5,133.82,C34578,Islamabad,In-Store
O172,2023-11-25,P5675,Ball,Toys,5,270.8,C44701,Multan,In-Store
O173,2023-01-29,P2218,T-Shirt,Clothing,3,140.11,C98801,Faisalabad,In-Store
O174,2023-08-14,P8291,Knife Set,Kitchenware,1,277.67,C43742,Peshawar,In-Store
O175,2023-02-06,P4020,T-Shirt,Clothing,2,268.64,C51755,Multan,Online
O176,2023-12-15,P3162,Frying Pan,Kitchenware,5,242.89,C29129,Islamabad,In-Store
O177,2023-10-16,P5311,Charger,Electronics,3,432.92,C17314,Faisalabad,Online
O178,2023-02-14,P5286,Jacket,Clothing,1,170.33,C79274,Peshawar,In-Store
O179,2023-01-31,P8561,Puzzle,Toys,5,436.56,C12719,Islamabad,Online
O180,2023-01-12,P1294,Charger,Electronics,2,416.91,C85713,Multan,In-Store
O181,2023-08-11,P8009,T-Shirt,Clothing,1,317.75,C22987,Multan,Online
O182,2023-11-15,P2435,Jeans,Clothing,2,218.96,C36660,Multan,In-Store
O183,2023-08-07,P2040,Milk,Groceries,4,38.58,C90395,Peshawar,Online
O184,2023-04-30,P7353,Headphones,Electronics,1,33.67,C77889,Peshawar,In-Store
O185,2023-01-07,P9220,Ball,Toys,4,325.55,C54064,Peshawar,Online
O186,2023-08-14,P4356,Jacket,Clothing,2,5.51,C24288,Islamabad,Online
O187,2023-10-15,P4155,Knife Set,Kitchenware,5,348.37,C13093,Islamabad,Online
O188,2023-01-21,P7446,T-Shirt,Clothing,4,20.49,C91871,Multan,Online
O189,2023-09-14,P1933,Sugar,Groceries,3,140.74,C29982,Lahore,Online
O190,2023-01-12,P6390,Shoes,Clothing,1,327.58,C33019,Islamabad,In-Store
O191,2023-11-05,P9711,Sugar,Groceries,1,434.97,C84318,Islamabad,In-Store
O192,2023-06-30,P6655,Charger,Electronics,3,399.41,C54859,Lahore,Online
O193,2023-09-30,P2875,Sugar,Groceries,1,5.61,C44531,Karachi,In-Store
O194,2023-12-10,P1583,Cooker,Kitchenware,5,138.15,C39759,Multan,Online
O195,2023-04-05,P9357,Car,Toys,2,242.57,C36143,Islamabad,Online
O196,2023-09-24,P1213,Hotpot,Kitchenware,4,391.03,C79298,Karachi,Online
O197,2023-07-21,P7047,Rice,Groceries,4,352.72,C71681,Faisalabad,Online
O198,2023-03-18,P8833,Smartphone,Electronics,1,441.85,C60069,Quetta,In-Store
O199,2023-04-16,P9619,Headphones,Electronics,2,401.29,C72768,Islamabad,Online
O200,2023-12-25,P1552,Jacket,Clothing,1,468.43,C74881,Faisalabad,In-Store
O201,2023-09-08,P3430,Charger,Electronics,4,173.03,C36630,Islamabad,In-Store
O202,2023-01-03,P8294,Sugar,Groceries,2,393.0,C31288,Faisalabad,In-Store
O203,2023-01-25,P2266,Jeans,Clothing,4,127.32,C36745,Islamabad,Online
O204,2023-07-02,P1306,Rice,Groceries,5,395.9,C99899,Lahore,In-Store
O205,2023-12-27,P9946,Laptop,Electronics,5,498.19,C55500,Multan,In-Store
O206,2023-08-01,P1158,Knife Set,Kitchenware,4,91.23,C69321,Multan,In-Store
O207,2023-01-20,P1955,Rice,Groceries,4,369.0,C49063,Lahore,Online
O208,2023-04-27,P6631,Shoes,Clothing,1,222.11,C87539,Lahore,Online
O209,2023-07-05,P5732,Charger,Electronics,2,496.11,C58364,Lahore,In-Store
O210,2023-01-08,P7895,Puzzle,Toys,1,70.13,C88301,Quetta,In-Store
O211,2023-11-21,P5648,Sugar,Groceries,2,94.58,C45133,Peshawar,In-Store
O212,2023-08-19,P4216,Puzzle,Toys,1,333.0,C71272,Karachi,In-Store
O213,2023-06-13,P8062,Laptop,Electronics,5,9.47,C62233,Islamabad,In-Store
O214,2023-12-27,P7276,Smartphone,Electronics,2,336.35,C89530,Faisalabad,Online
O215,2023-04-17,P7052,Cooker,Kitchenware,4,192.78,C61886,Multan,In-Store
O216,2023-11-08,P3203,Doll,Toys,1,354.17,C93310,Quetta,In-Store
O217,2023-11-30,P1968,Oil,Groceries,5,21.92,C57614,Multan,In-Store
O218,2023-07-17,P6178,Smartphone,Electronics,1,65.44,C39856,Karachi,Online
O219,2023-08-04,P6370,Sugar,Groceries,4,493.38,C75661,Lahore,Online
O220,2023-07-03,P7638,Smartphone,Electronics,1,292.16,C16570,Lahore,Online
O221,2023-05-06,P2969,Sugar,Groceries,4,67.24,C53753,Faisalabad,Online
O222,2023-06-06,P8519,Smartphone,Electronics,1,366.76,C23669,Multan,Online
O223,2023-04-24,P8705,Smartphone,Electronics,2,190.28,C46487,Quetta,In-Store
O224,2023-10-29,P4072,Cooker,Kitchenware,3,465.82,C41890,Quetta,In-Store
O225,2023-08-08,P5033,Ball,Toys,5,290.71,C27087,Peshawar,Online
O226,2023-09-26,P4828,Hotpot,Kitchenware,1,496.7,C95150,Karachi,Online
O227,2023-05-12,P5114,Sugar,Groceries,5,383.77,C74965,Lahore,In-Store
O228,2023-05-09,P2367,Doll,Toys,3,435.11,C61924,Quetta,Online
O229,2023-04-03,P6592,Sugar,Groceries,5,193.31,C93360,Karachi,In-Store
O230,2023-09-24,P8010,Knife Set,Kitchenware,4,12.26,C86743,Peshawar,In-Store
O231,2023-10-09,P7471,Headphones,Electronics,1,192.99,C45631,Lahore,In-Store
O232,2023-01-12,P6252,Rice,Groceries,5,173.92,C91889,Multan,Online
O233,2023-11-22,P7570,Milk,Groceries,3,383.62,C68348,Multan,Online
O234,2023-10-08,P9906,Jacket,Clothing,5,449.53,C46914,Quetta,In-Store
O235,2023-02-21,P4610,Doll,Toys,3,55.2,C52652,Quetta,In-Store
O236,2023-05-26,P7787,Shoes,Clothing,2,307.12,C96365,Islamabad,Online
O237,2023-11-08,P9105,Sugar,Groceries,5,96.37,C84172,Lahore,In-Store
O238,2023-11-06,P6291,Milk,Groceries,4,48.08,C81031,Multan,In-Store
O239,2023-01-26,P5616,T-Shirt,Clothing,5,442.68,C91929,Lahore,Online
O240,2023-10-20,P6699,Car,Toys,1,122.25,C65826,Faisalabad,In-Store
O241,2023-08-30,P1482,Smartphone,Electronics,2,384.49,C27633,Karachi,Online
O242,2023-06-09,P9841,Doll,Toys,5,322.78,C84696,Peshawar,Online
O243,2023-10-18,P5358,Doll,Toys,1,493.95,C75108,Lahore,Online
O244,2023-08-29,P7602,Headphones,Electronics,5,360.21,C72438,Faisalabad,In-Store
O245,2023-10-15,P7764,Shoes,Clothing,2,171.93,C64253,Faisalabad,In-Store
O246,2023-05-16,P6472,Doll,Toys,4,99.97,C20106,Peshawar,Online
O247,2023-01-05,P3475,Rice,Groceries,1,416.77,C46378,Multan,In-Store
O248,2023-09-16,P9533,Laptop,Electronics,4,165.55,C15249,Quetta,In-Store
O249,2023-10-13,P5211,Headphones,Electronics,1,497.76,C10661,Faisalabad,In-Store
O250,2023-10-30,P1207,Rice,Groceries,5,319.31,C98733,Karachi,Online
O251,2023-01-03,P2679,Rice,Groceries,4,490.71,C91437,Multan,Online
O252,2023-09-05,P9555,Oil,Groceries,5,369.9,C28752,Karachi,In-Store
O253,2023-10-15,P6280,Ball,Toys,2,395.01,C86559,Faisalabad,In-Store
O254,2023-05-31,P7257,Sugar,Groceries,5,22.9,C94328,Multan,In-Store
O255,2023-11-19,P6299,T-Shirt,Clothing,1,257.31,C52685,Quetta,In-Store
O256,2023-05-23,P5437,Sugar,Groceries,3,394.21,C80971,Multan,In-Store
O257,2023-03-23,P6548,Charger,Electronics,1,62.6,C44594,Peshawar,In-Store
O258,2023-01-14,P9264,Headphones,Electronics,3,396.07,C88222,Multan,Online
O259,2023-07-25,P6907,Laptop,Electronics,2,115.69,C65249,Lahore,Online
O260,2023-06-13,P9286,Smartphone,Electronics,5,431.7,C15901,Karachi,In-Store
O261,2023-01-25,P6772,Ball,Toys,3,476.63,C58244,Lahore,In-Store
O262,2023-03-09,P8340,Car,Toys,4,71.91,C99099,Faisalabad,Online
O263,2023-06-09,P2884,Sugar,Groceries,5,57.3,C87866,Peshawar,In-Store
O264,2023-01-05,P7488,Oil,Groceries,3,196.3,C65677,Islamabad,In-Store
O265,2023-04-09,P6448,Puzzle,Toys,1,218.02,C60331,Peshawar,In-Store
O266,2023-09-17,P2638,Jacket,Clothing,4,310.94,C64823,Karachi,Online
O267,2023-05-04,P5517,Milk,Groceries,5,313.83,C67009,Quetta,Online
O268,2023-06-04,P2549,Oil,Groceries,5,180.35,C41174,Multan,Online
O269,2023-09-03,P5837,Car,Toys,2,71.23,C83294,Multan,In-Store
O270,2023-08-01,P9433,Charger,Electronics,5,111.52,C66532,Multan,In-Store
O271,2023-07-07,P5798,Doll,Toys,4,188.85,C32420,Faisalabad,In-Store
O272,2023-04-22,P1593,Car,Toys,4,433.01,C31223,Islamabad,Online
O273,2023-01-21,P3672,Ball,Toys,5,232.43,C63352,Karachi,In-Store
O274,2023-02-17,P7172,Hotpot,Kitchenware,1,405.4,C52080,Lahore,In-Store
O275,2023-10-11,P9906,Charger,Electronics,4,391.68,C38602,Peshawar,In-Store
O276,2023-12-10,P8340,Knife Set,Kitchenware,1,37.99,C57684,Faisalabad,Online
O277,2023-03-28,P4456,Ball,Toys,5,23.82,C17788,Islamabad,In-Store
O278,2023-10-04,P1365,Shoes,Clothing,1,478.47,C58355,Islamabad,In-Store
O279,2023-09-18,P9964,Jacket,Clothing,3,96.67,C86295,Lahore,In-Store
O280,2023-02-18,P2827,Rice,Groceries,1,488.12,C16979,Peshawar,Online
O281,2023-09-12,P9561,Hotpot,Kitchenware,2,241.74,C56857,Multan,In-Store
O282,2023-06-30,P7303,Oil,Groceries,2,302.93,C79519,Faisalabad,In-Store
O283,2023-07-02,P6784,Jeans,Clothing,1,464.4,C80119,Islamabad,In-Store
O284,2023-08-01,P1685,Sugar,Groceries,1,86.02,C94080,Multan,Online
O285,2023-01-18,P3196,Charger,Electronics,1,132.92,C38044,Peshawar,Online
O286,2023-05-30,P5330,Milk,Groceries,3,163.43,C68712,Peshawar,In-Store
O287,2023-08-01,P5558,Doll,Toys,2,58.43,C65731,Islamabad,In-Store
O288,2023-06-20,P2724,Jacket,Clothing,4,367.74,C76912,Islamabad,Online
O289,2023-04-18,P8295,Jacket,Clothing,5,51.41,C39806,Lahore,In-Store
O290,2023-04-14,P6343,Cooker,Kitchenware,5,441.32,C78056,Lahore,Online
O291,2023-01-13,P3547,Jacket,Clothing,2,180.92,C94899,Peshawar,In-Store
O292,2023-01-14,P4489,Headphones,Electronics,4,374.14,C50372,Karachi,In-Store
O293,2023-03-11,P8378,Shoes,Clothing,3,421.78,C92617,Faisalabad,Online
O294,2023-08-15,P8321,Ball,Toys,4,391.3,C77364,Peshawar,Online
O295,2023-01-20,P3563,Car,Toys,4,94.75,C46060,Peshawar,Online
O296,2023-09-11,P1161,Ball,Toys,2,282.93,C26029,Lahore,Online
O297,2023-07-30,P1663,Milk,Groceries,3,251.64,C52092,Faisalabad,In-Store
O298,2023-07-11,P9623,Headphones,Electronics,5,395.36,C91580,Faisalabad,In-Store
O299,2023-04-26,P2136,Knife Set,Kitchenware,1,48.86,C94730,Faisalabad,Online
O300,2023-06-10,P2283,T-Shirt,Clothing,4,153.22,C59811,Quetta,Online
O301,2023-11-21,P6624,Oil,Groceries,1,475.4,C18329,Lahore,Online
O302,2023-04-28,P3757,Puzzle,Toys,1,294.98,C63072,Islamabad,Online
O303,2023-10-29,P6017,T-Shirt,Clothing,3,133.35,C91906,Multan,Online
O304,2023-07-11,P7404,Ball,Toys,1,220.41,C36201,Faisalabad,In-Store
O305,2023-04-10,P1685,Laptop,Electronics,1,391.21,C17531,Faisalabad,Online
O306,2023-12-30,P5713,Milk,Groceries,1,478.52,C19557,Faisalabad,Online
O307,2023-12-02,P3014,Jacket,Clothing,4,394.63,C19833,Karachi,Online
O308,2023-04-17,P3643,Rice,Groceries,5,427.28,C50785,Lahore,Online
O309,2023-01-07,P1671,Hotpot,Kitchenware,4,161.02,C17927,Islamabad,In-Store
O310,2023-05-22,P6432,Car,Toys,2,212.3,C30644,Lahore,Online
O311,2023-11-01,P2938,Smartphone,Electronics,3,363.95,C67714,Karachi,Online
O312,2023-06-27,P8875,Rice,Groceries,5,61.48,C98553,Karachi,Online
O313,2023-01-28,P8097,Hotpot,Kitchenware,5,117.57,C28474,Karachi,Online
O314,2023-07-17,P4648,Hotpot,Kitchenware,2,45.45,C57945,Multan,Online
O315,2023-04-08,P4750,Headphones,Electronics,1,336.17,C84071,Quetta,In-Store
O316,2023-08-31,P2854,Oil,Groceries,2,489.14,C20800,Quetta,Online
O317,2023-08-02,P6774,Sugar,Groceries,4,379.59,C82055,Multan,Online
O318,2023-06-17,P3105,Milk,Groceries,3,473.59,C49961,Karachi,Online
O319,2023-04-07,P2577,Smartphone,Electronics,3,455.06,C51971,Islamabad,In-Store
O320,2023-07-16,P3551,Oil,Groceries,1,201.7,C81947,Lahore,In-Store
